Time (s),I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,0.02,-0.059,-0.078,0.02,0.049,-0.068,0.215,0.732,0.566,0.839,0.176,0.215
0.002,0.02,-0.059,-0.078,0.02,0.049,-0.068,0.215,0.732,0.566,0.839,0.176,0.215
0.004,0.02,-0.059,-0.078,0.02,0.049,-0.068,0.215,0.732,0.566,0.839,0.176,0.215
0.006,0.02,-0.059,-0.078,0.02,0.049,-0.068,0.215,0.732,0.566,0.839,0.176,0.215
0.008,0.01,-0.044,-0.054,0.02,0.029,-0.049,0.234,0.761,0.59,0.854,0.19,0.205
0.01,0.0,-0.039,-0.039,0.02,0.02,-0.039,0.244,0.781,0.605,0.859,0.195,0.205
0.012,-0.01,-0.034,-0.024,0.024,0.005,-0.029,0.254,0.8,0.62,0.864,0.2,0.205
0.014,-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.264,0.82,0.634,0.869,0.205,0.205
0.016,-0.02,-0.02,0.0,0.02,-0.01,-0.01,0.278,0.844,0.654,0.878,0.21,0.2
0.018,-0.02,-0.02,0.0,0.02,-0.01,-0.01,0.293,0.869,0.673,0.888,0.215,0.195
0.02,-0.02,-0.02,0.0,0.02,-0.01,-0.01,0.307,0.893,0.693,0.898,0.22,0.19
0.022,-0.02,-0.02,0.0,0.02,-0.01,-0.01,0.322,0.917,0.712,0.908,0.224,0.185
0.024,-0.029,-0.02,0.01,0.024,-0.02,-0.005,0.337,0.937,0.737,0.927,0.239,0.195
0.026,-0.029,-0.02,0.01,0.024,-0.02,-0.005,0.342,0.956,0.752,0.937,0.244,0.195
0.028,-0.029,-0.02,0.01,0.024,-0.02,-0.005,0.346,0.976,0.766,0.947,0.249,0.195
0.03,-0.029,-0.02,0.01,0.024,-0.02,-0.005,0.351,0.996,0.781,0.956,0.254,0.195
0.032,-0.044,-0.005,0.039,0.024,-0.044,0.015,0.376,1.015,0.805,0.971,0.254,0.185
0.034,-0.049,0.01,0.059,0.02,-0.054,0.034,0.39,1.035,0.82,0.976,0.254,0.185
0.036,-0.054,0.024,0.078,0.015,-0.068,0.049,0.405,1.054,0.834,0.981,0.254,0.185
0.038,-0.059,0.039,0.098,0.01,-0.078,0.068,0.42,1.074,0.849,0.986,0.254,0.185
0.04,-0.068,0.024,0.093,0.024,-0.083,0.059,0.429,1.088,0.859,0.996,0.249,0.195
0.042,-0.068,0.02,0.088,0.024,-0.078,0.054,0.439,1.103,0.869,0.996,0.244,0.195
0.044,-0.068,0.015,0.083,0.029,-0.078,0.049,0.449,1.118,0.878,0.996,0.239,0.195
0.046,-0.068,0.01,0.078,0.029,-0.073,0.044,0.459,1.132,0.888,0.996,0.234,0.195
0.048,-0.068,-0.01,0.059,0.039,-0.063,0.024,0.473,1.142,0.888,0.986,0.22,0.19
0.05,-0.068,-0.02,0.049,0.044,-0.059,0.015,0.478,1.142,0.888,0.986,0.215,0.185
0.052,-0.068,-0.029,0.039,0.049,-0.054,0.005,0.483,1.142,0.888,0.986,0.21,0.181
0.054,-0.068,-0.039,0.029,0.054,-0.049,-0.005,0.488,1.142,0.888,0.986,0.205,0.176
0.056,-0.068,-0.029,0.039,0.049,-0.054,0.005,0.473,1.132,0.878,0.981,0.205,0.161
0.058,-0.068,-0.02,0.049,0.044,-0.059,0.015,0.468,1.122,0.869,0.976,0.205,0.156
0.06,-0.068,-0.01,0.059,0.039,-0.063,0.024,0.464,1.113,0.859,0.971,0.205,0.151
0.062,-0.068,0.0,0.068,0.034,-0.068,0.034,0.459,1.103,0.849,0.966,0.205,0.146
0.064,-0.083,0.024,0.107,0.029,-0.098,0.063,0.459,1.088,0.839,0.952,0.195,0.156
0.066,-0.098,0.039,0.137,0.029,-0.117,0.088,0.459,1.074,0.83,0.947,0.195,0.166
0.068,-0.112,0.054,0.166,0.029,-0.142,0.107,0.459,1.059,0.82,0.942,0.195,0.176
0.07,-0.127,0.068,0.195,0.029,-0.161,0.132,0.459,1.044,0.81,0.937,0.195,0.185
0.072,-0.112,0.044,0.156,0.034,-0.137,0.098,0.444,1.005,0.776,0.917,0.176,0.181
0.074,-0.107,0.029,0.137,0.039,-0.122,0.083,0.429,0.966,0.742,0.898,0.166,0.176
0.076,-0.102,0.015,0.117,0.044,-0.112,0.063,0.415,0.927,0.708,0.878,0.156,0.171
0.078,-0.098,0.0,0.098,0.049,-0.098,0.049,0.4,0.888,0.673,0.859,0.146,0.166
0.08,-0.088,0.02,0.107,0.034,-0.098,0.063,0.371,0.834,0.625,0.83,0.127,0.166
0.082,-0.078,0.029,0.107,0.024,-0.093,0.068,0.351,0.791,0.586,0.8,0.117,0.166
0.084,-0.068,0.039,0.107,0.015,-0.088,0.073,0.332,0.747,0.547,0.771,0.107,0.166
0.086,-0.059,0.049,0.107,0.005,-0.083,0.078,0.312,0.703,0.508,0.742,0.098,0.166
0.088,-0.059,0.039,0.098,0.01,-0.078,0.068,0.283,0.644,0.459,0.717,0.078,0.166
0.09,-0.059,0.039,0.098,0.01,-0.078,0.068,0.264,0.595,0.42,0.693,0.068,0.166
0.092,-0.059,0.039,0.098,0.01,-0.078,0.068,0.244,0.547,0.381,0.669,0.059,0.166
0.094,-0.059,0.039,0.098,0.01,-0.078,0.068,0.224,0.498,0.342,0.644,0.049,0.166
0.096,-0.049,0.054,0.102,0.0,-0.078,0.078,0.205,0.459,0.298,0.62,0.044,0.166
0.098,-0.049,0.059,0.107,-0.005,-0.078,0.083,0.185,0.42,0.264,0.605,0.039,0.166
0.1,-0.049,0.063,0.112,-0.005,-0.083,0.088,0.166,0.381,0.229,0.59,0.034,0.166
0.102,-0.049,0.068,0.117,-0.01,-0.083,0.093,0.146,0.342,0.195,0.576,0.029,0.166
0.104,-0.063,0.054,0.117,0.005,-0.093,0.083,0.127,0.307,0.156,0.542,0.005,0.161
0.106,-0.078,0.039,0.117,0.02,-0.098,0.078,0.117,0.273,0.127,0.517,-0.01,0.156
0.108,-0.093,0.024,0.117,0.034,-0.107,0.068,0.107,0.239,0.098,0.493,-0.024,0.151
0.11,-0.107,0.01,0.117,0.049,-0.112,0.063,0.098,0.205,0.068,0.468,-0.039,0.146
0.112,-0.093,0.01,0.102,0.044,-0.098,0.054,0.078,0.181,0.049,0.454,-0.039,0.151
0.114,-0.088,0.01,0.098,0.039,-0.093,0.054,0.068,0.156,0.029,0.449,-0.039,0.156
0.116,-0.083,0.01,0.093,0.039,-0.088,0.049,0.059,0.132,0.01,0.444,-0.039,0.161
0.118,-0.078,0.01,0.088,0.034,-0.083,0.049,0.049,0.107,-0.01,0.439,-0.039,0.166
0.12,-0.068,0.024,0.093,0.024,-0.083,0.059,0.039,0.083,-0.034,0.429,-0.054,0.161
0.122,-0.059,0.029,0.088,0.015,-0.073,0.059,0.029,0.068,-0.049,0.42,-0.059,0.156
0.124,-0.049,0.034,0.083,0.01,-0.068,0.059,0.02,0.054,-0.063,0.41,-0.063,0.151
0.126,-0.039,0.039,0.078,0.0,-0.059,0.059,0.01,0.039,-0.078,0.4,-0.068,0.146
0.128,-0.049,0.029,0.078,0.01,-0.063,0.054,0.01,0.02,-0.088,0.386,-0.078,0.151
0.13,-0.049,0.02,0.068,0.015,-0.059,0.044,0.01,0.01,-0.098,0.381,-0.078,0.156
0.132,-0.049,0.01,0.059,0.02,-0.054,0.034,0.01,0.0,-0.107,0.376,-0.078,0.161
0.134,-0.049,0.0,0.049,0.024,-0.049,0.024,0.01,-0.01,-0.117,0.371,-0.078,0.166
0.136,-0.049,-0.015,0.034,0.034,-0.044,0.01,-0.005,-0.015,-0.132,0.371,-0.088,0.161
0.138,-0.049,-0.02,0.029,0.034,-0.039,0.005,-0.01,-0.02,-0.137,0.371,-0.088,0.156
0.14,-0.049,-0.024,0.024,0.039,-0.039,0.0,-0.015,-0.024,-0.142,0.371,-0.088,0.151
0.142,-0.049,-0.029,0.02,0.039,-0.034,-0.005,-0.02,-0.029,-0.146,0.371,-0.088,0.146
0.144,-0.034,-0.015,0.02,0.024,-0.029,0.0,-0.034,-0.039,-0.151,0.371,-0.078,0.156
0.146,-0.029,0.0,0.029,0.015,-0.029,0.015,-0.039,-0.049,-0.156,0.371,-0.078,0.156
0.148,-0.024,0.015,0.039,0.005,-0.034,0.024,-0.044,-0.059,-0.161,0.371,-0.078,0.156
0.15,-0.02,0.029,0.049,-0.005,-0.034,0.039,-0.049,-0.068,-0.166,0.371,-0.078,0.156
0.152,-0.039,0.015,0.054,0.015,-0.049,0.034,-0.044,-0.054,-0.166,0.361,-0.088,0.166
