Time (s),I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-0.19,-0.249,-0.059,0.22,-0.068,-0.156,0.727,0.947,0.698,0.288,-0.293,-0.478
0.002,-0.195,-0.234,-0.039,0.215,-0.078,-0.137,0.732,0.956,0.712,0.298,-0.259,-0.488
0.004,-0.185,-0.215,-0.029,0.2,-0.078,-0.122,0.752,0.966,0.712,0.288,-0.288,-0.512
0.006,-0.181,-0.244,-0.063,0.215,-0.059,-0.156,0.786,0.996,0.732,0.298,-0.312,-0.517
0.008,-0.156,-0.249,-0.093,0.205,-0.034,-0.171,0.805,1.015,0.752,0.312,-0.312,-0.503
0.01,-0.142,-0.249,-0.107,0.195,-0.02,-0.181,0.795,1.03,0.771,0.327,-0.298,-0.483
0.012,-0.176,-0.278,-0.102,0.229,-0.039,-0.19,0.791,1.03,0.776,0.342,-0.283,-0.473
0.014,-0.185,-0.278,-0.093,0.234,-0.049,-0.185,0.795,1.039,0.786,0.351,-0.283,-0.464
0.016,-0.205,-0.293,-0.088,0.249,-0.059,-0.19,0.795,1.044,0.791,0.351,-0.273,-0.459
0.018,-0.205,-0.293,-0.088,0.249,-0.059,-0.19,0.8,1.039,0.786,0.346,-0.273,-0.478
0.02,-0.195,-0.288,-0.093,0.244,-0.054,-0.19,0.82,1.054,0.805,0.361,-0.278,-0.478
0.022,-0.21,-0.288,-0.078,0.249,-0.068,-0.185,0.8,1.039,0.805,0.356,-0.264,-0.493
0.024,-0.21,-0.259,-0.049,0.234,-0.083,-0.156,0.805,1.039,0.805,0.361,-0.293,-0.542
0.026,-0.205,-0.268,-0.063,0.239,-0.073,-0.166,0.83,1.069,0.834,0.371,-0.322,-0.556
0.028,-0.224,-0.298,-0.073,0.264,-0.078,-0.185,0.825,1.069,0.825,0.366,-0.337,-0.576
0.03,-0.22,-0.293,-0.073,0.259,-0.073,-0.185,0.834,1.083,0.839,0.376,-0.342,-0.576
0.032,-0.21,-0.273,-0.063,0.244,-0.073,-0.171,0.839,1.088,0.859,0.405,-0.307,-0.556
0.034,-0.19,-0.254,-0.063,0.224,-0.063,-0.161,0.849,1.103,0.878,0.41,-0.293,-0.542
0.036,-0.2,-0.259,-0.059,0.229,-0.073,-0.161,0.849,1.108,0.883,0.41,-0.283,-0.537
0.038,-0.181,-0.239,-0.059,0.21,-0.063,-0.151,0.844,1.113,0.888,0.415,-0.264,-0.532
