Time (s),I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,0.078,-0.049,-0.127,-0.015,0.102,-0.088,-0.151,0.044,0.127,0.42,0.351,0.0
0.002,0.102,-0.034,-0.137,-0.034,0.117,-0.088,-0.132,0.059,0.151,0.449,0.376,0.0
0.004,0.117,-0.02,-0.137,-0.049,0.127,-0.078,-0.132,0.054,0.156,0.449,0.386,0.0
0.006,0.117,-0.01,-0.127,-0.054,0.122,-0.068,-0.146,0.034,0.142,0.439,0.376,0.0
0.008,0.117,-0.015,-0.132,-0.049,0.122,-0.073,-0.161,0.034,0.142,0.444,0.376,0.0
0.01,0.127,-0.029,-0.156,-0.049,0.142,-0.093,-0.151,0.039,0.161,0.459,0.395,0.0
0.012,0.142,-0.02,-0.161,-0.059,0.151,-0.093,-0.156,0.039,0.161,0.464,0.405,0.0
0.014,0.142,-0.005,-0.146,-0.068,0.142,-0.078,-0.171,0.029,0.166,0.468,0.4,0.0
0.016,0.146,0.029,-0.117,-0.088,0.132,-0.044,-0.19,0.015,0.161,0.468,0.395,0.0
0.018,0.142,0.024,-0.117,-0.083,0.127,-0.049,-0.205,0.005,0.161,0.473,0.395,0.0
0.02,0.117,-0.005,-0.122,-0.054,0.117,-0.063,-0.229,-0.005,0.151,0.468,0.39,0.0
0.022,0.098,-0.01,-0.107,-0.044,0.102,-0.059,-0.234,-0.02,0.142,0.454,0.376,0.0
0.024,0.078,-0.034,-0.112,-0.02,0.093,-0.073,-0.254,-0.034,0.132,0.449,0.371,0.0
0.026,0.112,-0.01,-0.122,-0.049,0.117,-0.068,-0.249,-0.034,0.137,0.459,0.381,0.0
0.028,0.151,0.024,-0.127,-0.088,0.137,-0.054,-0.244,-0.02,0.146,0.468,0.395,0.0
0.03,0.185,0.034,-0.151,-0.107,0.166,-0.059,-0.234,-0.02,0.156,0.483,0.41,0.0
0.032,0.205,0.059,-0.146,-0.132,0.176,-0.044,-0.239,-0.015,0.156,0.493,0.415,0.0
0.034,0.181,0.034,-0.146,-0.107,0.161,-0.059,-0.249,-0.024,0.161,0.493,0.415,0.0
0.036,0.142,0.02,-0.122,-0.078,0.132,-0.054,-0.278,-0.049,0.142,0.473,0.39,0.0
0.038,0.122,-0.01,-0.132,-0.054,0.127,-0.073,-0.288,-0.054,0.137,0.468,0.386,0.0
0.04,0.112,-0.034,-0.146,-0.039,0.127,-0.093,-0.293,-0.063,0.127,0.464,0.381,0.0
0.042,0.171,0.024,-0.146,-0.098,0.156,-0.063,-0.268,-0.059,0.142,0.468,0.395,0.0
0.044,0.22,0.054,-0.166,-0.137,0.19,-0.059,-0.254,-0.039,0.151,0.483,0.41,0.0
0.046,0.19,0.02,-0.171,-0.102,0.181,-0.078,-0.259,-0.049,0.142,0.468,0.4,0.0
0.048,0.142,-0.015,-0.156,-0.063,0.146,-0.088,-0.264,-0.049,0.142,0.464,0.4,0.0
0.05,0.112,-0.054,-0.166,-0.029,0.137,-0.112,-0.264,-0.059,0.137,0.459,0.39,0.0
0.052,0.107,-0.068,-0.176,-0.02,0.142,-0.122,-0.273,-0.068,0.117,0.439,0.371,0.0
0.054,0.112,-0.063,-0.176,-0.024,0.142,-0.122,-0.278,-0.078,0.102,0.429,0.361,0.0
0.056,0.117,-0.073,-0.19,-0.02,0.151,-0.132,-0.273,-0.073,0.107,0.434,0.361,0.0
0.058,0.122,-0.063,-0.185,-0.029,0.151,-0.127,-0.259,-0.059,0.107,0.439,0.371,0.0
0.06,0.102,-0.068,-0.171,-0.015,0.137,-0.122,-0.259,-0.059,0.093,0.429,0.366,0.0
0.062,0.088,-0.102,-0.19,0.01,0.137,-0.146,-0.244,-0.063,0.088,0.425,0.356,0.0
0.064,0.068,-0.117,-0.185,0.024,0.127,-0.151,-0.254,-0.088,0.054,0.39,0.327,0.0
0.066,0.068,-0.132,-0.2,0.034,0.132,-0.166,-0.259,-0.098,0.029,0.366,0.303,0.0
0.068,0.078,-0.112,-0.19,0.02,0.132,-0.151,-0.249,-0.093,0.024,0.361,0.293,0.0
0.07,0.034,-0.117,-0.151,0.044,0.093,-0.137,-0.244,-0.088,0.024,0.351,0.283,0.0
0.072,0.059,-0.083,-0.142,0.015,0.098,-0.112,-0.21,-0.059,0.034,0.366,0.293,0.0
0.074,0.112,-0.039,-0.151,-0.034,0.132,-0.098,-0.2,-0.044,0.044,0.371,0.298,0.0
0.076,0.112,-0.063,-0.176,-0.024,0.142,-0.122,-0.195,-0.039,0.039,0.361,0.293,0.0
0.078,0.059,-0.127,-0.185,0.034,0.122,-0.156,-0.176,-0.024,0.039,0.361,0.293,0.0
0.08,0.01,-0.127,-0.137,0.059,0.073,-0.132,-0.181,-0.034,0.02,0.332,0.268,0.0
0.082,0.0,-0.142,-0.142,0.073,0.068,-0.142,-0.185,-0.044,0.0,0.312,0.244,0.0
0.084,0.049,-0.088,-0.137,0.02,0.093,-0.112,-0.171,-0.034,-0.01,0.307,0.249,0.0
0.086,0.083,-0.024,-0.107,-0.029,0.093,-0.068,-0.137,-0.015,0.005,0.317,0.259,0.0
0.088,0.083,-0.034,-0.117,-0.024,0.098,-0.078,-0.132,-0.01,0.005,0.312,0.254,0.0
0.09,0.078,-0.044,-0.122,-0.015,0.098,-0.083,-0.122,0.005,0.01,0.307,0.244,0.0
0.092,0.054,-0.059,-0.112,0.005,0.083,-0.088,-0.132,0.0,-0.01,0.288,0.22,0.0
0.094,0.01,-0.102,-0.112,0.049,0.059,-0.107,-0.132,0.0,-0.015,0.278,0.21,0.0
0.096,-0.034,-0.112,-0.078,0.073,0.02,-0.098,-0.137,0.0,-0.02,0.264,0.195,0.0
0.098,-0.039,-0.142,-0.102,0.093,0.029,-0.122,-0.127,0.01,-0.024,0.259,0.195,0.0
0.1,0.015,-0.132,-0.146,0.059,0.078,-0.142,-0.078,0.044,0.0,0.283,0.22,0.0
0.102,0.054,-0.068,-0.122,0.01,0.088,-0.098,-0.063,0.063,0.01,0.288,0.224,0.0
0.104,0.049,-0.059,-0.107,0.005,0.078,-0.083,-0.059,0.073,0.005,0.278,0.22,0.0
0.106,0.029,-0.063,-0.093,0.02,0.059,-0.078,-0.054,0.068,-0.005,0.264,0.195,0.0
0.108,0.01,-0.093,-0.102,0.044,0.054,-0.098,-0.059,0.068,-0.015,0.254,0.176,0.0
0.11,-0.005,-0.117,-0.112,0.063,0.054,-0.117,-0.049,0.068,-0.015,0.244,0.171,0.0
0.112,-0.029,-0.122,-0.093,0.078,0.029,-0.107,-0.039,0.078,-0.02,0.244,0.166,0.0
0.114,-0.054,-0.146,-0.093,0.102,0.02,-0.122,-0.024,0.093,-0.01,0.254,0.166,0.0
0.116,-0.049,-0.146,-0.098,0.098,0.024,-0.122,-0.024,0.102,-0.005,0.249,0.171,0.0
0.118,-0.034,-0.132,-0.098,0.083,0.029,-0.117,-0.01,0.122,0.005,0.254,0.176,0.0
0.12,-0.01,-0.137,-0.127,0.073,0.059,-0.132,0.02,0.142,0.01,0.264,0.185,0.0
0.122,-0.02,-0.146,-0.127,0.083,0.054,-0.137,0.02,0.146,0.01,0.259,0.185,0.0
0.124,-0.029,-0.166,-0.137,0.098,0.054,-0.151,0.02,0.142,0.0,0.249,0.185,0.0
0.126,-0.049,-0.2,-0.151,0.127,0.049,-0.176,0.024,0.151,-0.005,0.239,0.171,0.0
0.128,-0.039,-0.176,-0.137,0.107,0.049,-0.156,0.034,0.166,0.0,0.239,0.171,0.0
0.13,-0.049,-0.166,-0.117,0.107,0.034,-0.142,0.039,0.161,-0.005,0.239,0.161,0.0
0.132,-0.063,-0.176,-0.112,0.122,0.024,-0.146,0.039,0.161,-0.015,0.229,0.151,0.0
0.134,-0.068,-0.171,-0.102,0.122,0.015,-0.137,0.044,0.171,-0.005,0.234,0.151,0.0
0.136,-0.049,-0.151,-0.102,0.102,0.024,-0.127,0.039,0.171,-0.01,0.224,0.146,0.0
0.138,-0.054,-0.156,-0.102,0.107,0.024,-0.132,0.039,0.176,-0.015,0.224,0.146,0.0
0.14,-0.068,-0.185,-0.117,0.127,0.024,-0.151,0.044,0.176,-0.02,0.224,0.146,0.0
0.142,-0.054,-0.171,-0.117,0.112,0.029,-0.146,0.059,0.19,-0.005,0.234,0.161,0.0
0.144,-0.01,-0.137,-0.127,0.073,0.059,-0.132,0.083,0.2,0.005,0.244,0.171,0.0
0.146,-0.005,-0.146,-0.142,0.078,0.068,-0.146,0.088,0.195,-0.005,0.234,0.166,0.0
0.148,-0.024,-0.181,-0.156,0.102,0.063,-0.171,0.088,0.2,-0.005,0.234,0.171,0.0
0.15,-0.068,-0.195,-0.127,0.132,0.029,-0.161,0.088,0.2,-0.005,0.229,0.161,0.0
0.152,-0.102,-0.205,-0.102,0.156,0.0,-0.156,0.093,0.205,-0.005,0.234,0.166,0.0
0.154,-0.083,-0.176,-0.093,0.132,0.005,-0.137,0.093,0.205,-0.01,0.234,0.161,0.0
0.156,-0.044,-0.137,-0.093,0.093,0.024,-0.117,0.112,0.22,0.01,0.249,0.176,0.0
0.158,-0.005,-0.102,-0.098,0.054,0.044,-0.102,0.127,0.234,0.015,0.254,0.185,0.0
0.16,-0.039,-0.117,-0.078,0.078,0.02,-0.098,0.117,0.22,0.005,0.244,0.171,0.0
0.162,-0.078,-0.146,-0.068,0.112,-0.005,-0.107,0.102,0.21,-0.01,0.234,0.156,0.0
0.164,-0.083,-0.146,-0.063,0.117,-0.01,-0.107,0.102,0.2,-0.015,0.224,0.146,0.0
0.166,-0.088,-0.156,-0.068,0.122,-0.01,-0.112,0.098,0.2,-0.024,0.22,0.142,0.0
0.168,-0.078,-0.166,-0.088,0.122,0.005,-0.127,0.098,0.205,-0.02,0.224,0.156,0.0
0.17,-0.073,-0.132,-0.059,0.102,-0.01,-0.098,0.098,0.205,-0.015,0.229,0.161,0.0
0.172,-0.093,-0.112,-0.02,0.102,-0.039,-0.068,0.088,0.19,-0.034,0.215,0.151,0.0
0.174,-0.083,-0.093,-0.01,0.088,-0.039,-0.054,0.093,0.2,-0.029,0.22,0.156,0.0
0.176,-0.063,-0.107,-0.044,0.088,-0.01,-0.078,0.107,0.2,-0.02,0.224,0.151,0.0
0.178,-0.049,-0.122,-0.073,0.088,0.01,-0.098,0.117,0.205,-0.015,0.229,0.156,0.0
0.18,-0.049,-0.088,-0.039,0.068,-0.005,-0.063,0.112,0.2,-0.024,0.22,0.151,0.0
0.182,-0.068,-0.088,-0.02,0.078,-0.024,-0.054,0.107,0.195,-0.039,0.21,0.142,0.0
0.184,-0.098,-0.088,0.01,0.093,-0.054,-0.039,0.098,0.181,-0.049,0.195,0.132,0.0
0.186,-0.093,-0.088,0.005,0.093,-0.049,-0.044,0.098,0.185,-0.049,0.2,0.137,0.0
0.188,-0.083,-0.122,-0.039,0.102,-0.024,-0.083,0.107,0.2,-0.034,0.215,0.146,0.0
0.19,-0.083,-0.132,-0.049,0.107,-0.02,-0.093,0.112,0.2,-0.029,0.22,0.151,0.0
0.192,-0.083,-0.117,-0.034,0.102,-0.024,-0.078,0.112,0.2,-0.029,0.215,0.151,0.0
0.194,-0.078,-0.117,-0.039,0.098,-0.02,-0.078,0.102,0.2,-0.029,0.215,0.156,0.0
0.196,-0.059,-0.098,-0.039,0.078,-0.01,-0.068,0.102,0.2,-0.024,0.224,0.151,0.0
0.198,-0.059,-0.073,-0.015,0.068,-0.024,-0.044,0.107,0.21,-0.015,0.229,0.166,0.0
0.2,-0.078,-0.102,-0.024,0.093,-0.029,-0.063,0.093,0.205,-0.029,0.22,0.156,0.0
0.202,-0.088,-0.112,-0.024,0.102,-0.034,-0.068,0.078,0.185,-0.044,0.215,0.142,0.0
0.204,-0.098,-0.122,-0.024,0.112,-0.039,-0.073,0.078,0.181,-0.049,0.205,0.137,0.0
0.206,-0.122,-0.107,0.015,0.117,-0.068,-0.049,0.073,0.181,-0.059,0.195,0.132,0.0
0.208,-0.166,-0.127,0.039,0.146,-0.102,-0.044,0.068,0.171,-0.059,0.19,0.127,0.0
0.21,-0.127,-0.142,-0.015,0.137,-0.059,-0.078,0.102,0.2,-0.029,0.224,0.161,0.0
0.212,-0.063,-0.137,-0.073,0.102,0.005,-0.107,0.122,0.224,-0.01,0.249,0.181,0.0
0.214,-0.034,-0.102,-0.068,0.068,0.015,-0.088,0.127,0.239,0.005,0.264,0.19,0.0
0.216,-0.01,-0.078,-0.068,0.044,0.029,-0.073,0.127,0.239,0.015,0.268,0.2,0.0
0.218,-0.01,-0.078,-0.068,0.044,0.029,-0.073,0.122,0.239,0.01,0.273,0.2,0.0
0.22,-0.039,-0.122,-0.083,0.083,0.02,-0.102,0.122,0.239,0.015,0.268,0.2,0.0
0.222,-0.049,-0.088,-0.039,0.068,-0.005,-0.063,0.122,0.234,0.015,0.268,0.195,0.0
0.224,-0.044,-0.078,-0.034,0.063,-0.005,-0.059,0.112,0.229,0.005,0.259,0.19,0.0
0.226,-0.029,-0.098,-0.068,0.063,0.02,-0.083,0.117,0.244,0.015,0.268,0.195,0.0
0.228,-0.029,-0.093,-0.063,0.063,0.015,-0.078,0.122,0.244,0.015,0.278,0.2,0.0
0.23,-0.059,-0.098,-0.039,0.078,-0.01,-0.068,0.112,0.234,0.005,0.268,0.195,0.0
0.232,-0.088,-0.122,-0.034,0.107,-0.029,-0.078,0.102,0.224,0.005,0.264,0.185,0.0
0.234,-0.068,-0.098,-0.029,0.083,-0.02,-0.063,0.098,0.229,0.005,0.264,0.185,0.0
0.236,-0.059,-0.098,-0.039,0.078,-0.01,-0.068,0.107,0.234,0.015,0.273,0.2,0.0
0.238,-0.049,-0.083,-0.034,0.068,-0.01,-0.059,0.107,0.239,0.02,0.268,0.205,0.0
0.24,-0.039,-0.073,-0.034,0.059,-0.005,-0.054,0.117,0.239,0.024,0.273,0.21,0.0
0.242,-0.024,-0.054,-0.029,0.039,0.0,-0.044,0.127,0.239,0.029,0.273,0.215,0.0
0.244,-0.039,-0.059,-0.02,0.049,-0.01,-0.039,0.127,0.234,0.024,0.268,0.22,0.0
0.246,-0.049,-0.078,-0.029,0.063,-0.01,-0.054,0.117,0.229,0.015,0.254,0.205,0.0
0.248,-0.054,-0.073,-0.02,0.063,-0.02,-0.049,0.107,0.224,0.01,0.249,0.2,0.0
0.25,-0.039,-0.049,-0.01,0.044,-0.015,-0.029,0.117,0.229,0.02,0.254,0.21,0.0
0.252,-0.034,-0.049,-0.015,0.044,-0.01,-0.034,0.132,0.239,0.029,0.259,0.215,0.0
0.254,-0.054,-0.068,-0.015,0.063,-0.02,-0.044,0.122,0.239,0.029,0.264,0.22,0.0
0.256,-0.049,-0.078,-0.029,0.063,-0.01,-0.054,0.122,0.229,0.029,0.259,0.22,0.0
0.258,-0.059,-0.102,-0.044,0.083,-0.01,-0.073,0.127,0.234,0.029,0.259,0.224,0.0
0.26,-0.098,-0.102,-0.005,0.102,-0.049,-0.054,0.127,0.234,0.029,0.259,0.229,0.0
0.262,-0.112,-0.117,-0.005,0.117,-0.054,-0.063,0.122,0.215,0.015,0.244,0.215,0.0
0.264,-0.146,-0.137,0.01,0.142,-0.078,-0.063,0.112,0.205,0.0,0.229,0.2,0.0
0.266,-0.117,-0.102,0.015,0.112,-0.068,-0.044,0.102,0.2,-0.005,0.224,0.2,0.0
0.268,-0.059,-0.059,0.0,0.059,-0.029,-0.029,0.117,0.215,0.015,0.239,0.22,0.0
0.27,-0.034,-0.024,0.01,0.029,-0.024,-0.01,0.137,0.234,0.029,0.254,0.239,0.0
0.272,-0.034,-0.015,0.02,0.024,-0.029,0.0,0.132,0.229,0.034,0.254,0.239,0.0
0.274,-0.068,-0.034,0.034,0.054,-0.054,0.0,0.137,0.234,0.044,0.268,0.244,0.0
0.276,-0.063,0.0,0.063,0.034,-0.063,0.029,0.122,0.22,0.029,0.254,0.239,0.0
0.278,-0.068,-0.02,0.049,0.044,-0.059,0.015,0.117,0.22,0.029,0.249,0.244,0.0
0.28,-0.063,-0.029,0.034,0.049,-0.049,0.0,0.107,0.22,0.034,0.254,0.244,0.0
0.282,-0.068,-0.01,0.059,0.039,-0.063,0.024,0.102,0.21,0.029,0.254,0.249,0.0
0.284,-0.088,-0.044,0.044,0.068,-0.068,0.0,0.083,0.19,0.01,0.239,0.234,0.0
0.286,-0.093,-0.063,0.029,0.078,-0.063,-0.02,0.078,0.19,0.015,0.234,0.229,0.0
0.288,-0.098,-0.059,0.039,0.078,-0.068,-0.01,0.078,0.19,0.015,0.234,0.229,0.0
0.29,-0.083,-0.044,0.039,0.063,-0.063,-0.005,0.078,0.19,0.015,0.239,0.234,0.0
0.292,-0.063,-0.015,0.049,0.039,-0.059,0.015,0.063,0.181,0.005,0.229,0.224,0.0
0.294,-0.073,-0.049,0.024,0.063,-0.049,-0.015,0.063,0.185,0.02,0.234,0.229,0.0
0.296,-0.068,-0.034,0.034,0.054,-0.054,0.0,0.059,0.185,0.02,0.249,0.239,0.0
0.298,-0.068,-0.015,0.054,0.044,-0.063,0.02,0.054,0.181,0.015,0.239,0.229,0.0
0.3,-0.088,-0.02,0.068,0.054,-0.078,0.024,0.034,0.161,-0.005,0.22,0.215,0.0
